symbol,entry_time,entry_price,exit_time,exit_price,pnl_pct,exit_reason,max_favorable_excursion_pct,max_adverse_excursion_pct,elapsed_min,signal_score_at_entry,data_source,trade_date
9984.T,2026-04-16T00:57:06+00:00,4605.0,2026-04-16T00:57:12+00:00,4591.0,-0.304017,breakout_failure,0.0,-0.304017,0.1,80,yahoo_synthetic_push,2026-04-16
9984.T,2026-04-16T01:06:00+00:00,4662.0,2026-04-16T01:06:12+00:00,4633.0,-0.622051,breakout_failure,0.02145,-0.622051,0.2,80,yahoo_synthetic_push,2026-04-16
9984.T,2026-04-16T01:34:00+00:00,4722.0,2026-04-16T01:34:12+00:00,4695.0,-0.571792,breakout_failure,0.021177,-0.571792,0.2,80,yahoo_synthetic_push,2026-04-16
5803.T,2026-04-21T03:59:00+00:00,5855.0,2026-04-21T03:59:12+00:00,5818.0,-0.631939,breakout_failure,0.034159,-0.631939,0.2,80,yahoo_synthetic_push,2026-04-21
9984.T,2026-04-21T00:08:00+00:00,5038.0,2026-04-21T00:08:12+00:00,4981.0,-1.131401,breakout_failure,0.059547,-1.131401,0.2,65,yahoo_synthetic_push,2026-04-21
9984.T,2026-04-21T00:09:06+00:00,5048.0,2026-04-21T00:09:12+00:00,5022.0,-0.515055,breakout_failure,0.0,-0.515055,0.1,65,yahoo_synthetic_push,2026-04-21
9984.T,2026-04-21T03:32:00+00:00,5055.0,2026-04-21T03:32:12+00:00,5044.0,-0.217606,breakout_failure,0.039565,-0.217606,0.2,80,yahoo_synthetic_push,2026-04-21
9984.T,2026-04-21T03:50:00+00:00,5109.0,2026-04-21T03:52:12+00:00,5106.0,-0.05872,board_imbalance_deterioration,0.137013,-0.313173,2.2,80,yahoo_synthetic_push,2026-04-21
9984.T,2026-04-22T00:06:00+00:00,5318.0,2026-04-22T00:06:12+00:00,5259.0,-1.10944,breakout_failure,0.131628,-1.10944,0.2,80,yahoo_synthetic_push,2026-04-22
9984.T,2026-04-22T00:07:00+00:00,5330.0,2026-04-22T00:07:12+00:00,5309.0,-0.393996,breakout_failure,0.281426,-0.393996,0.2,80,yahoo_synthetic_push,2026-04-22
9984.T,2026-04-22T00:10:00+00:00,5362.0,2026-04-22T00:10:12+00:00,5319.0,-0.80194,breakout_failure,0.130548,-0.80194,0.2,80,yahoo_synthetic_push,2026-04-22
9984.T,2026-04-22T00:11:00+00:00,5387.0,2026-04-22T00:11:12+00:00,5350.0,-0.686839,breakout_failure,0.037126,-0.686839,0.2,80,yahoo_synthetic_push,2026-04-22
9984.T,2026-04-22T00:12:00+00:00,5420.0,2026-04-22T00:12:12+00:00,5378.0,-0.774908,breakout_failure,0.535055,-0.774908,0.2,80,yahoo_synthetic_push,2026-04-22
9984.T,2026-04-22T00:27:06+00:00,5452.0,2026-04-22T00:27:12+00:00,5433.0,-0.348496,breakout_failure,0.0,-0.348496,0.1,80,yahoo_synthetic_push,2026-04-22
9984.T,2026-04-22T00:37:06+00:00,5487.0,2026-04-22T00:37:12+00:00,5444.0,-0.78367,breakout_failure,0.0,-0.78367,0.1,80,yahoo_synthetic_push,2026-04-22
9984.T,2026-04-22T00:53:06+00:00,5498.0,2026-04-22T00:53:12+00:00,5446.0,-0.945798,breakout_failure,0.0,-0.945798,0.1,80,yahoo_synthetic_push,2026-04-22
9984.T,2026-04-22T01:14:00+00:00,5510.0,2026-04-22T01:14:12+00:00,5478.0,-0.580762,breakout_failure,0.072595,-0.580762,0.2,80,yahoo_synthetic_push,2026-04-22
9984.T,2026-04-22T01:43:06+00:00,5611.0,2026-04-22T01:43:12+00:00,5592.0,-0.338621,breakout_failure,0.0,-0.338621,0.1,80,yahoo_synthetic_push,2026-04-22
9984.T,2026-04-22T01:51:00+00:00,5657.0,2026-04-22T01:51:12+00:00,5645.0,-0.212127,breakout_failure,0.141418,-0.212127,0.2,80,yahoo_synthetic_push,2026-04-22
9984.T,2026-04-22T02:06:00+00:00,5703.0,2026-04-22T02:06:12+00:00,5690.0,-0.22795,breakout_failure,0.175346,-0.22795,0.2,80,yahoo_synthetic_push,2026-04-22
9984.T,2026-04-22T02:11:06+00:00,5727.0,2026-04-22T02:11:12+00:00,5703.0,-0.419068,breakout_failure,0.0,-0.419068,0.1,80,yahoo_synthetic_push,2026-04-22
5803.T,2026-04-23T00:06:06+00:00,6218.0,2026-04-23T00:06:12+00:00,6142.0,-1.222258,hard_stop,0.0,-1.222258,0.1,80,yahoo_synthetic_push,2026-04-23
9984.T,2026-04-24T00:07:00+00:00,5874.0,2026-04-24T00:07:12+00:00,5838.0,-0.61287,breakout_failure,0.357508,-0.61287,0.2,65,yahoo_synthetic_push,2026-04-24
9984.T,2026-04-24T00:08:00+00:00,5909.0,2026-04-24T00:08:12+00:00,5870.0,-0.66001,breakout_failure,0.592317,-0.66001,0.2,65,yahoo_synthetic_push,2026-04-24
9984.T,2026-04-27T00:50:00+00:00,6043.0,2026-04-27T00:50:12+00:00,6015.0,-0.463346,breakout_failure,0.115837,-0.463346,0.2,80,yahoo_synthetic_push,2026-04-27
9984.T,2026-04-27T01:04:00+00:00,6111.0,2026-04-27T01:04:12+00:00,6050.0,-0.9982,breakout_failure,0.016364,-0.9982,0.2,80,yahoo_synthetic_push,2026-04-27
9984.T,2026-04-27T01:05:06+00:00,6121.0,2026-04-27T01:05:12+00:00,6082.0,-0.637151,breakout_failure,0.0,-0.637151,0.1,80,yahoo_synthetic_push,2026-04-27
9984.T,2026-04-30T00:08:06+00:00,5074.0,2026-04-30T00:08:12+00:00,4956.0,-2.325581,hard_stop,0.0,-2.325581,0.1,65,yahoo_synthetic_push,2026-04-30
9984.T,2026-04-30T00:09:00+00:00,5084.0,2026-04-30T00:09:12+00:00,5017.0,-1.31786,hard_stop,0.039339,-1.31786,0.2,80,yahoo_synthetic_push,2026-04-30
9984.T,2026-04-30T00:10:06+00:00,5108.0,2026-04-30T00:10:12+00:00,5054.0,-1.057165,breakout_failure,0.0,-1.057165,0.1,80,yahoo_synthetic_push,2026-04-30
8001.T,2026-05-01T04:08:00+00:00,1989.5,2026-05-01T04:08:06+00:00,1969.5,-1.005278,breakout_failure,0.0,-1.005278,0.1,80,yahoo_synthetic_push,2026-05-01
8002.T,2026-05-01T02:00:06+00:00,6160.0,2026-05-01T02:00:12+00:00,5856.0,-4.935065,hard_stop,0.0,-4.935065,0.1,80,yahoo_synthetic_push,2026-05-01
8058.T,2026-05-01T05:00:00+00:00,5102.0,2026-05-01T05:00:12+00:00,4946.0,-3.057624,hard_stop,0.0196,-3.057624,0.2,80,yahoo_synthetic_push,2026-05-01
8306.T,2026-05-01T01:47:00+00:00,2798.0,2026-05-01T01:49:12+00:00,2797.5,-0.01787,board_imbalance_deterioration,0.07148,-0.07148,2.2,65,yahoo_synthetic_push,2026-05-01
9984.T,2026-05-01T00:07:00+00:00,5428.0,2026-05-01T00:07:12+00:00,5386.0,-0.773766,breakout_failure,0.092115,-0.773766,0.2,65,yahoo_synthetic_push,2026-05-01
9984.T,2026-05-01T00:08:00+00:00,5445.0,2026-05-01T00:08:12+00:00,5418.0,-0.495868,breakout_failure,0.146924,-0.495868,0.2,65,yahoo_synthetic_push,2026-05-01
9984.T,2026-05-01T00:10:06+00:00,5466.0,2026-05-01T00:10:12+00:00,5401.0,-1.189169,breakout_failure,0.0,-1.189169,0.1,65,yahoo_synthetic_push,2026-05-01
5803.T,2026-05-07T00:14:06+00:00,6368.0,2026-05-07T00:14:12+00:00,6278.0,-1.413317,hard_stop,0.0,-1.413317,0.1,65,yahoo_synthetic_push,2026-05-07
5803.T,2026-05-07T03:31:00+00:00,6415.0,2026-05-07T03:31:12+00:00,6384.0,-0.483242,breakout_failure,0.015588,-0.483242,0.2,80,yahoo_synthetic_push,2026-05-07
6315.T,2026-05-07T01:00:06+00:00,3355.0,2026-05-07T01:00:12+00:00,3340.0,-0.447094,breakout_failure,0.0,-0.447094,0.1,80,yahoo_synthetic_push,2026-05-07
6890.T,2026-05-07T00:47:00+00:00,8730.0,2026-05-07T00:47:06+00:00,8710.0,-0.229095,breakout_failure,0.0,-0.229095,0.1,80,yahoo_synthetic_push,2026-05-07
6890.T,2026-05-07T00:48:00+00:00,8750.0,2026-05-07T00:49:12+00:00,8730.0,-0.228571,board_imbalance_deterioration,0.0,-0.228571,1.2,65,yahoo_synthetic_push,2026-05-07
9984.T,2026-05-07T01:04:00+00:00,6121.0,2026-05-07T01:04:12+00:00,6092.0,-0.473779,breakout_failure,0.11436,-0.473779,0.2,80,yahoo_synthetic_push,2026-05-07
9984.T,2026-05-07T01:06:00+00:00,6149.0,2026-05-07T01:06:12+00:00,6134.0,-0.243942,breakout_failure,0.260205,-0.243942,0.2,80,yahoo_synthetic_push,2026-05-07
9984.T,2026-05-07T01:19:00+00:00,6188.0,2026-05-07T01:19:12+00:00,6158.0,-0.484809,breakout_failure,0.080802,-0.484809,0.2,80,yahoo_synthetic_push,2026-05-07
9984.T,2026-05-07T01:21:00+00:00,6219.0,2026-05-07T01:21:12+00:00,6189.0,-0.482393,breakout_failure,0.096479,-0.482393,0.2,80,yahoo_synthetic_push,2026-05-07
9984.T,2026-05-07T01:55:00+00:00,6244.0,2026-05-07T01:55:12+00:00,6209.0,-0.560538,breakout_failure,0.016015,-0.560538,0.2,80,yahoo_synthetic_push,2026-05-07
9984.T,2026-05-07T01:58:00+00:00,6253.0,2026-05-07T01:58:12+00:00,6237.0,-0.255877,breakout_failure,0.095954,-0.255877,0.2,80,yahoo_synthetic_push,2026-05-07
9984.T,2026-05-07T02:26:00+00:00,6305.0,2026-05-07T02:26:12+00:00,6289.0,-0.253767,breakout_failure,0.063442,-0.253767,0.2,80,yahoo_synthetic_push,2026-05-07
9984.T,2026-05-07T03:36:00+00:00,6347.0,2026-05-07T03:36:12+00:00,6339.0,-0.126044,breakout_failure,0.141799,-0.126044,0.2,80,yahoo_synthetic_push,2026-05-07
9984.T,2026-05-07T03:37:00+00:00,6368.0,2026-05-07T03:37:12+00:00,6327.0,-0.643844,breakout_failure,0.031407,-0.643844,0.2,80,yahoo_synthetic_push,2026-05-07
9984.T,2026-05-07T03:38:00+00:00,6392.0,2026-05-07T03:38:12+00:00,6358.0,-0.531915,breakout_failure,0.078223,-0.531915,0.2,80,yahoo_synthetic_push,2026-05-07
9984.T,2026-05-07T03:42:06+00:00,6412.0,2026-05-07T03:42:12+00:00,6390.0,-0.343107,breakout_failure,0.0,-0.343107,0.1,80,yahoo_synthetic_push,2026-05-07
9984.T,2026-05-07T03:45:06+00:00,6424.0,2026-05-07T03:45:12+00:00,6404.0,-0.311333,breakout_failure,0.0,-0.311333,0.1,80,yahoo_synthetic_push,2026-05-07
5803.T,2026-05-08T06:04:00+00:00,6513.0,2026-05-08T06:05:12+00:00,6512.0,-0.015354,board_imbalance_deterioration,0.199601,-0.307078,1.2,80,yahoo_synthetic_push,2026-05-08
7013.T,2026-05-08T04:00:00+00:00,3219.0,2026-05-08T04:00:12+00:00,3074.0,-4.504505,hard_stop,0.310655,-4.504505,0.2,80,yahoo_synthetic_push,2026-05-08
7013.T,2026-05-08T04:01:00+00:00,3235.0,2026-05-08T04:01:12+00:00,3219.0,-0.49459,breakout_failure,1.669243,-0.49459,0.2,80,yahoo_synthetic_push,2026-05-08
7013.T,2026-05-08T04:05:06+00:00,3323.0,2026-05-08T04:05:12+00:00,3218.0,-3.159795,hard_stop,0.0,-3.159795,0.1,80,yahoo_synthetic_push,2026-05-08
5016.T,2026-05-12T00:16:06+00:00,5300.0,2026-05-12T00:16:12+00:00,5184.0,-2.188679,hard_stop,0.0,-2.188679,0.1,65,yahoo_synthetic_push,2026-05-12
5016.T,2026-05-12T00:17:06+00:00,5386.0,2026-05-12T00:17:12+00:00,5279.0,-1.986632,hard_stop,0.0,-1.986632,0.1,80,yahoo_synthetic_push,2026-05-12
5803.T,2026-05-12T00:21:00+00:00,7418.0,2026-05-12T00:21:12+00:00,7387.0,-0.417902,breakout_failure,0.094365,-0.417902,0.2,80,yahoo_synthetic_push,2026-05-12
5803.T,2026-05-12T05:16:00+00:00,7494.0,2026-05-12T05:16:12+00:00,7431.0,-0.840673,breakout_failure,0.026688,-0.840673,0.2,80,yahoo_synthetic_push,2026-05-12
5803.T,2026-05-12T05:17:06+00:00,7506.0,2026-05-12T05:17:12+00:00,7463.0,-0.572875,breakout_failure,0.0,-0.572875,0.1,80,yahoo_synthetic_push,2026-05-12
5803.T,2026-05-12T05:19:00+00:00,7578.0,2026-05-12T05:19:12+00:00,7478.0,-1.319609,hard_stop,0.118765,-1.319609,0.2,80,yahoo_synthetic_push,2026-05-12
5803.T,2026-05-12T05:20:00+00:00,7698.0,2026-05-12T05:20:12+00:00,7565.0,-1.727721,hard_stop,0.103923,-1.727721,0.2,80,yahoo_synthetic_push,2026-05-12
5803.T,2026-05-12T05:21:06+00:00,7733.0,2026-05-12T05:21:12+00:00,7633.0,-1.293159,hard_stop,0.0,-1.293159,0.1,80,yahoo_synthetic_push,2026-05-12
5803.T,2026-05-12T05:23:00+00:00,7755.0,2026-05-12T05:23:12+00:00,7686.0,-0.889749,breakout_failure,0.154739,-0.889749,0.2,80,yahoo_synthetic_push,2026-05-12
9984.T,2026-05-12T00:06:00+00:00,5939.0,2026-05-12T00:06:12+00:00,5907.0,-0.538811,breakout_failure,0.185216,-0.538811,0.2,65,yahoo_synthetic_push,2026-05-12
9984.T,2026-05-12T02:05:06+00:00,6008.0,2026-05-12T02:05:12+00:00,5984.0,-0.399467,breakout_failure,0.0,-0.399467,0.1,80,yahoo_synthetic_push,2026-05-12
8058.T,2026-05-13T00:22:00+00:00,5798.0,2026-05-13T00:22:12+00:00,5778.0,-0.344947,breakout_failure,0.034495,-0.344947,0.2,65,yahoo_synthetic_push,2026-05-13
5803.T,2026-05-14T00:57:06+00:00,7933.0,2026-05-14T00:57:12+00:00,7886.0,-0.592462,breakout_failure,0.0,-0.592462,0.1,80,yahoo_synthetic_push,2026-05-14
9984.T,2026-05-14T00:05:06+00:00,6069.0,2026-05-14T00:05:12+00:00,5943.0,-2.076125,hard_stop,0.0,-2.076125,0.1,65,yahoo_synthetic_push,2026-05-14
9984.T,2026-05-15T01:15:00+00:00,6005.0,2026-05-15T01:15:12+00:00,5983.0,-0.366361,breakout_failure,0.049958,-0.366361,0.2,80,yahoo_synthetic_push,2026-05-15
